Month,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
January,"1,110","1,138","1,086","1,068","1,332","1,500","1,546","1,498","1,645","1,945"
February,"1,111","1,040","1,047","1,013","1,354","1,581","1,526","1,413","1,793","1,694"
March,974,"1,061","1,099","1,130","1,251","1,734","1,654","1,636","1,815","1,840"
April,470,992,"1,013","1,186","1,205","1,554","1,507","1,479","1,656","1,771"
May,631,"1,103","1,055","1,220","1,283","1,588","1,444","1,585","1,761","1,793"
June,782,976,"1,031","1,046","1,219","1,523","1,482","1,350","1,617","1,971"
July,922,"1,116","1,123","1,095","1,149","1,604","1,569","1,561","1,735","1,867"
August,"1,026","1,143","1,086","1,118","1,303","1,556","1,664","1,465","1,690","1,979"
September,"1,270","1,113","1,068","1,105","1,162","1,512","1,509","1,561","1,567","1,823"
October,"1,328","1,079","1,001","1,032","1,105","1,444","1,452","1,626","1,564","1,845"
November,"1,180",984,"1,043","1,052",992,"1,440","1,649","1,497","1,447","1,798"
December,"1,445","1,113","1,153","1,179","1,202","1,459","1,684","1,697","1,580","1,946"
Total,"12,249","12,858","12,805","13,244","14,557","18,495","18,686","18,368","19,870","22,272"